Rating,Title,Console,Time(Optional)
1,Life is Strange,PC,11h4m8s
4,Super Metroid,SNES,5h49m
2,Felix the Cat,NES,1h14m1s
1,M&M's Shell Shocked,PSX,3h1m7s
2,Fallout 4,PC,49h
3,Metroid Fusion,GBA,3h25m
5,Hotline Miami 2,PC,4h49m15s
2,Borderlands 2,PC,19h42m
3,Amnesia: A Machine for Pigs,PC,3h9m36s
4,Metro 2033,PC,6h6m52s
3,Medal of Honor Heroes 2,PSP,
1,GUN,PC,3h12m32s
2,Donald Duck: Quack Attack,N64,
3,Fallout 3,PC,
3,Lords of the Fallen,PC,7h40m46s
2,Jak and Daxter,PS3,6h11m7s
2,Kuru Kuru Kururin,GBA,
2,Saints Row 2,PC,17h
1,Cat vs. Corgis,PC,2h21m30s
3,Death's Gambit,PC,8h54m49s
2,Tyranny,PC,18h25m
1,Brütal Legend,PC,
3,Nioh,PC,28h27m15s
5,Quake,PC,
3,Crash Bandicoot: Warped,PSX,3h4m5s
3,Bionic Commando,PC,3h45m23s
4,F.E.A.R,PC,4h41m2s
3,Quake II,PC,4h46m41
2,Ratchet & Clank: Going Commando (HD),PS3,9h36m54s
2,Mirror's Edge,PC,3h30m34s
2,Ty the Tasmanian Tiger,PC,6h27m10s
4,God of War,PS2,
2,The Simpsons: Hit & Run,GCN,8h3m57s
2,Shadow Bug,PC,2h23m42s
5,Shovel Knight,PC,
5,Cuphead,PC,8h49m8s
1,The Incredible Adventures of Van Helsing,PC,16h42m
3,Far Cry 3: Blood Dragon,PC,2h40m7s
4,Castlevania: Aria of Sorrow,GBA,6h36m37s
4,Max Payne,PC,4h10m9s
2,Portal Stories: Mel,PC,6h8m
4,God of War: Chains of Olympus,PSP,
4,Beyond Good & Evil,PC,8h38m36s
3,Rayman Origins,PC,6h15m45s
4,The Punisher,PC,6h52m46s
5,Bloodborne,PS4,16h54m19s
3,"Bioshock 2 ""Remastered""",PC,5h27m55s
5,BUTCHER,PC,
2,Serious Sam: The First Encounter,PC,7h
4,Grand Theft Auto V ,X360,
4,Titan Souls,PC,2h
3,Minit,PC,2h5m20s
3,Mass Effect 3,X360,
3,Shantae: Half-Genie Hero,PC,7h26m3s
4,Mega Man X,SNES,
3,Legend of Kay Anniversary,PC,10h12m
3,DUSK,PC,5h31m48s
2,Brothers: A Tale of Two Sons,PC,2h16m53s
3,RAGE,PC,6h46m10s
5,The Elder Scrolls IV: Oblivion,PC,
4,Hotline Miami,PC,
3,Nuclear Throne,PC,
2,Arvoesine,PC,
4,Quake 4,PC,4h47m1s
1,Shrek the Third,PSP,
3,The Darkness II,PC,3h19m2s
1,Ori and the Blind Forest,PC,6h54m
4,MediEvil,PSX,
2,LEGO: The Hobbit,PC,10h
3,Castlevania: Symphony of the Night,PSX,4h32m47s
4,The Witness,PC,20h16m13s
4,Castlevania,NES,
3,Wolfenstein: The New Order,PC,6h55m2s
4,Doom 4,PC,6h1m42s
4,Little Nightmares,PC,2h30m48s
4,Dishonored,PC,
4,Crash Team Racing,PSX,2h33m47s
3,The Messenger,PC,9h10m34s
2,Shadow Warrior (2013),PC,8h36m
4,METAL GEAR RISING: REVENGEANCE,PC,8h51m13s
1,Ryse: Son of Rome,PC,5h18m
2,Hard Reset,PC,4h37m55s
1,Serious Sam 2,PC,10h16m36s
3,Loom,DOS,2h23m27s
2,Ratchet & Clank (HD),PS3,9h15m1s
2,Half-Life 2: Episode One,PC,2h13m17s
3,Banjo-Kazooie,N64,12h14m40s
4,Fable 3,X360,
5,RUINER,PC,3h32m13s
3,Lovely Planet,PC,
2,Chameleon Twist 2,N64,3h4m11s
3,Firewatch,PC,3h20m22s
3,Super Mario Advance 2,GBA,19m25s
3,Half-Life,PC,
2,Hitman: Absolution,PC,9h18m
3,Odallus: The Dark Call,PC,5h2m35s
3,Half-Life: Opposing Force,PC,2h43m5s
4,Baldur's Gate II,PC,34h36m31s
1,Refunct,PC,
4,Spyro 2: Ripto's Rage,PSX,7h59m43s
4,Kingdom Hearts II,PS2,25h34m28s
1,Marlow Briggs and the Mask of Death,PC,5h54m
1,Homefront,PC,3h9m20s
5,Red Dead Redemption,X360,
4,Jotun,PC,
1,Saints Row IV,PC,15h
3,Sniper Elite,PC,7h10m9s
3,Fallout: New Vegas,PC,28h20m47s
3,Half-Life 2,PC,8h36m
3,Jet Set Radio,PC,5h2m23s
1,Spec Ops: The Line,PC,4h11m47s
4,Fable 2,X360,
3,Dead Space,PC,7h50m42s
3,Glover,N64,5h47m27s
2,F.E.A.R 2,PC,
1,Giana Sisters: Twisted Dreams,PC,4h23m31s
5,Dark Souls III,PC,
3,Kirby's Dream Land,GB/GBC,33m3s
3,A Story About My Uncle,PC,1h41m52s
3,Bioshock: Infinite,PC,5h15m26s
4,Katamari Damacy,PS2,4h42m58s
3,Far Cry 2,PC,13h10m28s
4,The Legend of Zelda: Twilight Princess,GCN,22h50m
4,STAR WARS Jedi Knight: Jedi Academy,PC,8h1m10s
3,Castlevania: Circle of the Moon,GBA,7h24m38s
4,The Witcher 2,PC,23h
3,Demon's Crest ,SNES,1h41m32s
3,Slain: Back from Hell,PC,
3,Mario Kart: Double Dash!!,GCN,
3,South Park: The Stick of Truth,PC,11h24m
4,Outlast II,PC,5h5m33s
2,Spectraball,PC,
1,Alien VS Predator,SNES,
5,Hyper Light Drifter,PC,
1,Chameleon Twist,N64,1h22m34s
2,Lucius II,PC,3h57m49s
4,The End Is Nigh,PC,10h18m1s
5,The Witcher 3,PC,54h
2,Psychonauts,PC,9h23m18s
3,Dragon's Dogma: Dark Arisen,PC,41h
3,Capsized,PC,2h46m22s
3,Mages of Mystralia,PC,7h37m43s
3,Hitman: Blood Money,PC,11h
4,Mass Effect,PC,19h6m
3,Bioshock,PC,5h54m
4,The Legend of Zelda: Ocarina of Time,N64,
4,Styx: Shards of Darkness,PC,9h43m50s
3,Magicka 2,PC,4h
2,A Boy and his Blob,PC,9h13m40s
2,Star Fox 64,N64,1h3m17s
3,Crash Bandicoot,PSX,
3,Singularity,PC,4h41m9s
1,Pacify,PC,49m
4,Metroid: Zero Mission,GBA,4h47m43s
5,Halo 2,XBOX,
4,Axiom Verge,PC,9h31s
5,Dragon Age: Origins,PC,
3,The Talos Principle,PC,12h40m4s
2,Metal Slug X,PSX,
4,Heretic,PC,
4,Divinity: Original Sin,PC,47h27m
4,Thief II: The Metal Age,PC,11h56m43s
3,Salt and Sanctuary,PC,10h16m38s
4,Momodora: Reverie Under the Moonlight,PC,3h57m53s
2,Iggy's Egg Adventure,PC,
2,Borderlands,PC,16h18m
2,Metro: Last Light,PC,7h
3,Castle Crashers,PC,3h28m1s
2,Super Mario Bros,NES,15m49s
5,Demon's Souls,PS3,14h11m
3,Grow Home,PC,2h
4,L.A Noire,PC,16h59m31s
1,Shrek Super Slam,GCN,28m5s
4,Dead Space 3,PC,7h38m12s
2,Far Cry,PC,8h
3,The Stanley Parable,PC,
4,Doom,PC,
2,Sonic Adventure 2,PC,3h52m9s
3,Call of Juarez,PC,6h27m33s
4,Baldur's Gate,PC,22h3m37s
3,Pillars of Eternity,PC,38h39m49s
1,Call of Duty: World at War,PC,2h30m
3,Croc 2,PSX,7h19m46s
4,Call of Cthulhu: Dark Corners of the Earth,PC,12h49m10s
1,Croc: Legend of the Gobbos,PSX,
2,Assassin's Creed: Revelations,PC,8h41m11s
3,Streets of Rage 2,ARCADE,
3,Hob,PC,6h43m5s
3,Unreal Gold,PC,6h4m7s
3,Rogue Legacy,PC,9h7m48s
4,Magicka,PC,
4,Furi,PC,5h50m3s
2,Metal Slug,PC,
4,Super Mario World,SNES,
4,Mega Man X2,SNES,9h6m40s
2,Pac-Man World 2,GCN,4h22m34s
3,Super Mario Sunshine,GCN,
3,New Super Mario Bros,NDS,
4,Sundered,PC,14h11m48s
1,Thief (2014),PC,5h55m43s
5,Shadow of the Colossus,PS3,7h58m19s
3,Mad Max,PC,11h21m23s
3,Trine,PC,3h6m50s
3,Sniper Elite 3,PC,5h53m5s
4,God of War 2,PS2,10h2m
2,LEGO Star Wars: The Complete Saga,X360,
4,Nier: Automata,PC,22h59m48s
3,Dragon Age: Inquisition,PC,29h14m39s
2,Castlevania III: Dracula's Curse,NES,
2,Mafia II,PC,
3,The Forest,PC,15h35m19s
2,Duke Nukem Forever,PC,5h13m40s
4,Super Castlevania IV,SNES,4h17m32s
4,Divinity: Original Sin 2,PC,40h54m31s
4,Return to Castle Wolfenstein,PC,5h5m56s
4,The Witcher,PC,23h
1,Aladdin,SNES,
3,Turok: Dinosaur Hunter,PC,5h45m32s
4,God of War: Ghost of Sparta,PSP,4h55m9s
3,Devil May Cry 2,PS3,3h12m18s
2,Sonic Adventure DX (Sonic),PC,3h2m22s
3,Darksiders II,PC,11h30m13s
3,klocki,PC,1h25m
3,Mark of the Ninja,PC,6h3m8s
4,Bayonetta,PC,9h24m1s
4,Thief Gold,PC,11h29m7s
1,Two Worlds,PC,7h48m
4,A Hat in Time,PC,5h44m29s
3,Yooka-Laylee,PC,14h40m51s
3,Judge Dredd: Dredd vs Death,PC,2h35m47s
2,Hand of Fate,PC,8h14m16s
3,S.T.A.L.K.E.R.: Shadow of Chernobyl,PC,5h56m20s
4,MediEvil 2,PSX,8h23m46s
4,Mario Kart DS,NDS,
5,Hollow Knight,PC,
3,Divinity II (+ DLC),PC,20h33m25s
2,Transistor,PC,3h34m18s
3,Trine 2,PC,3h24m13s
3,Rayman 2: The Great Escape,PSX,4h57m3s
3,LEGO Star Wars 2: The Original Trilogy,NDS,
3,Luigi's Mansion,GCN,6h18m38s
4,Dead Space 2,PC,6h32m17s
3,Assassin's Creed 2,X360,
4,Kingdom Hearts,PS2,21h47m56s
4,Max Payne 2: The Fall of Max Payne,PC,3h41m56s
3,Spyro The Dragon,PSX,3h15m14s
2,Portal,PC,2h8m
4,The Surge,PC,15h36m35s
4,Limbo,PC,3h48m
5,Halo: Combat Evolved,XBOX,
1,Call of Duty: Black Ops (SP),PC,
3,Oddworld: New 'n' Tasty,PC,7h31m57s
3,Grim Dawn,PC,14h38m3s
3,Painkiller: Hell & Damnation,PC,3h3m38s
2,The Great Circus Mystery Starring Mickey and Minnie,SNES,1h8m1s
2,Assassin's Creed: Freedom Cry,PC,2h44m53s
4,Maldita Castilla,PC,
5,God of War 3,PS3,7h55m12s
4,Wolfenstein: The Old Blood,PC,4h13m16s
3,High Hell,PC,44m15s
3,Yo! Noid 2,PC,2h16m52s
4,Spyro: Year of the Dragon,PSX,8h4m16s
4,Max Payne 3,PC,5h3m14s
3,We Were Here,PC,
4,The Last of Us Remastered,PS4,10h25m9s
5,Völgarr The Viking,PC,
3,Half-Life: Blue Shift,PC,
1,Zeno Clash,PC,2h54m
5,Bloodstained: Curse of the Moon,PC,
3,Diddy Kong Racing,N64,6h7m19s
3,Mickey Mouse: Castle of Illusion,PC,1h42m
2,Seasons after Fall,PC,5h5m
3,Grand Theft Auto: Vice City,PC,13h37m22s
3,Toy Story 2,N64,3h55m16s
3,Dead Cells,PC,
1,Shrek 2,GCN,
4,Super Mario 64,N64,5h49m21s
3,Dark Messiah of Might and Magic,PC,5h21m32s
3,Gunpoint,PC,4h42m
2,Risen 3 - Titan Lords,PC,16h16m24s
3,The Legend of Zelda: The Minish Cap,GBA,11h39m56s
5,The Legend of Zelda: The Wind Waker,GCN,25h11m58s
2,Crash Bandicoot: The Wrath of Cortex,GCN,4h3m10s
3,Castlevania: Harmony of Dissonance,GBA,8h17m13s
3,LEGO Star Wars: The Original Trilogy,PSP,
5,Dark Souls,PC,
3,Song of the Deep,PC,6h8m46s
3,VVVVVV,PC,2h19m19s
3,Unworthy,PC,9h44m35s
5,Rune,PC,
3,Spyro - A Hero's Tail,GCN,
4,Skeleton Boomerang,PC,4h46m19s
3,Bully: Scholarship Edition,PC,12h43m6s
3,F.E.A.R 3,PC,
3,Rayman Legends,PC,
3,Assassin's Creed Brotherhood,X360,
2,Cloudbuilt,PC,1h1m56s
4,Worms 4: Mayhem,PC,4h32m9s
4,Daikatana,PC,10h49m36s
3,Overlord + Raising Hell DLC,PC,21h48m
3,Just Cause 3,PC,10h57m48s
2,Call of Juarez Gunslinger,PC,3h18m
4,Crysis,PC,
3,Gothic II: Gold Edition,PC,36h9m50s
2,Donkey Kong: Country,SNES,
3,The Elder Scrolls V: Skyrim,X360,
3,DMC: Devil May Cry (2013),PC,5h51m15s
3,Middle-Earth: Shadow of Mordor ,PC,
1,Insanity's Blade,PC,
2,Shadow Warrior 2,PC,5h9m14s
5,Halo 3,X360,
4,Resident Evil 4,PC,12h13m19s
2,Game of Thrones,PC,
3,Mega Man 2,NES,
3,Doom 3,PC,7h10m41s
3,Castlevania: Dracula X,SNES,
4,Celeste,PC,6h1m7s
3,Earth Defense Force: Insect Armageddon,PC,4h35m29s
1,Super Troll Islands,SNES,
1,Dropsy,PC,3h24m22s
1,Injustice: Gods Among Us,PC,2h54m
4,Halo: Reach,X360,
1,Fable: The Lost Chapters,PC,10h48m
3,Sleeping Dogs,PC,15h30s
3,Human: Fall Flat,PC,4h16m25s
2,OlliOlli2: Welcome to Olliwood,PC,3h
3,Chip 'n Dale Rescue Rangers,NES,
2,Shadow the Hedgehog,PC,2h28m15s
4,Pepsiman,PSX,1h17m56s
2,Serious Sam 3: BFE,PC,7h1m35s
4,God of War (2018),PS4,15h48s
4,Doom II,PC,6h17m1s
1,Prototype,PS3,8h37m14s
2,Assassin's Creed,X360,
3,Killer is Dead,PC,5h59m22s
3,Out There Somewhere,PC,1h12m21s
3,Saints Row: The Third,X360,18h
3,Tomb Raider: Anniversary,PC,10h16m39s
3,Half-Life 2: Episode Two,PC,2h54m21s
3,Sphinx and the Cursed Mummy,PC,14h15m33s
4,Vanquish,PC,4h53m49s
4,Dead or Alive 3,XBOX,
3,Scribblenauts Unlimited,PC,5h24m46s
5,Dark Souls II: SOTFS,PC,
4,Ape Escape,PSX,6h9m9s
3,Castlevania: Lords of Shadow + DLC,PC,18h6m
2,Undertale,PC,7h29m
3,Pankapu,PC,7h51m17s
4,Grand Theft Auto IV,X360,
3,Styx: Master of Shadows,PC,15h12m
1,Lawn Mower,NES,
4,Rayman 3: Hoodlum Havoc,PC,6h18m
3,Devil May Cry (HD),PS3,4h26m32s
2,Guacamelee!,PC,6h12m
3,Crash Twinsanity,PS2,4h47m31s
2,Crash Bandicoot 2: Cortex Strikes Back,PSX,3h27m2s
3,Nitronic Rush,PC,
4,Mass Effect 2,X360,
4,Castlevania II: Belmont's Revenge,GB/GBC,4h41s
3,Aragami,PC,3h17m5s
4,Dragon Age II,PC,19h36m6s
3,Redeemer,PC,4h47m55s
2,Trine 3: The Artifacts of Power,PC,3h23m20s
1,White Knight Chronicles,PS3,17h42m33s
3,Darksiders,PC,15h48m
2,Metroid Prime,GCN,18h25m3s
5,Dante's Inferno,PS3,6h52m35s
1,Xeodrifter,PC,3h4m1s
2,LocoRoco,PSP,3h25m
3,Castlevania: Lords of Shadow 2,PC,10h16m52s
3,Lucius,PC,6h2m45s
5,The Elder Scrolls III: Morrowind,PC,
3,Tomb Raider (2013),PC,9h42m
3,Red Faction: Guerilla,PC,9h5m5s
3,Hammerwatch,PC,
2,Bastion,PC,3h22m1s
1,Dora the Explorer - The Search for Pirate Pig's Treasure,GBA,
4,Hitman 2: Silent Assassin,PC,6h47m30s
4,INSIDE,PC,2h50m37s
2,Kingdoms of Amalur: Reckoning,PC,
2,Torchlight II,PC,14h54m
4,Devil May Cry 3,PS3,8h59m56s
5,Sekiro,PC,25h10m43s
4,RiME,PC,3h57m20s
4,Katana ZERO,PC,4h28m23s
4,Devil May Cry 4,PC,7h31m24s
3,Risen 2,PC,17h17m17s
3,Super Skelemania,PC,1h5m40s
4,Blood,PC,7h50m10s
4,Grand Theft Auto: San Andreas,PC,25h1m20s
4,TH6: Embodiment Of Scarlet Devil,PC,
2,Shape of the World,PC,47m56s
3,Asura's Wrath,PS3,5h29m26s
3,Gato Roboto,PC,3h58m17s
3,Metro Exodus,PC,12h3m23s
1,Vampyr,PC,11h36m6s
4,Wolfenstein 2,PC,6h41m11s
3,Guacamelee 2,PC,7h47m14s
4,Bloodstained: Ritual of the Night,PC,12h25m53s
4,Fight'N Rage,PC,
2,Grand Theft Auto III,PC,8h54m8s
3,Cave Story+,PC,6h2m38s
2,Late Shift,PC,57m19s
3,Layers of Fear,PC,2h13m52s
4,Crysis 2,PC,7h13m6s
4,Nex Machina,PC,1h25m4s
3,Horizon Zero Dawn,PS4,20h31m52s
2,Bloodbath Kavkaz,PC,2h26m50s
3,Prey,PC,4h39m7s
2,GNOG,PC,1h50m10s
3,Mutant Year Zero: Road to Eden,PC,13h42m28s
3,Mafia,PC,13h23m42s
4,Blasphemous,PC,12h4m33s
3,Yoku's Island Express,PC,4h36m52s
4,Quake III,PC,2h18m42s
4,AM2R,PC,7h48m26s
3,ABZU,PC,1h8m9s
3,Kingdom Come: Deliverance,PC,58h44m14s
3,Pillars of Eternity II: Deadfire,PC,30h49m41s
2,>observer_,PC,5h7m45s
2,Among The Sleep,PC,1h20m21s
3,Project Warlock,PC,4h53m21s
2,ENSLAVED: Odyssey to the West,PC,6h29m38s
2,Potatoman Seeks the Troof,PC,28m49s
3,Castlevania: Dawn of Sorrow,DS,7h7m47s
3,Shadow Warrior Classic Redux,PC,6h31m12s
2,Alan Wake,PC,7h53m33s
4,Red Dead Redemption II,PC,54h9m41s
4,Ion Fury,PC,9h26m45s
3,Middle-Earth: Shadow of War,PC,28h50m5s
4,Devil May Cry 5,PC,9h2m48s
2,Lost Planet,PC,5h7m45s
1,Alan Wake's American Nightmare,PC,2h2m12s
3,The Legend of Zelda: Link's Awakening,SWITCH,
3,Ape Out,PC,1h39m14s
1,Deadfall Adventures,PC,7h30m12s
3,Trespasser,PC,5h20m50s
4,The Surge 2,PC,15h2m39s
2,Watch Dogs,PC,12h2m16s
3,Tom Clancy's Splinter Cell,PC,9h59m17s
3,Tom Clancy's Splinter Cell: Pandora Tomorrow,PC,7h4m30s
3,Darius Burst,PSP,
2,Hexcells,PC,
3,HITMAN,PC,
3,HITMAN 2,PC,
2,XCOM: Enemy Unknown,PC,18h40m41s
4,Tom Clancy's Splinter Cell: Chaos Theory,PC,10h36m15s
2,Psi-Ops: The Mindgate Conspiracy,PC,7h10m30s
3,Serial Cleaner,PC,3h29m27s
2,Uncharted,PS3,6h26m22s
3,Uncharted 2,PS3,8h59m29s
2,Rex: Another Island,PC,
4,Burning Chrome,PC,2h16m39s
4,Bloodstained: Curse of the Moon 2,PC,4h34m2s
3,Castlevania: Portrait of Ruin,DS,10h26m41s
4,Doom 64,PC,5h42m11s
2,Bulletstorm,PC,4h56m52s
2,The Lord of the Rings: Fellowship of the Ring,PC,3h41m9s
3,Risk of Rain 2,PC,
3,Tom Clancy's Splinter Cell: Blacklist,PC,8h36m42s
3,Donut County,PC,1h28m13s
4,Halo 3: ODST,PC,5h39m55s
4,System Shock 2,PC,13h37m53s
4,Halo 4,PC,6h54m28s
3,Valley,PC,2h31m30s
3,Ghost in the Shell,PSX,2h15m10s
3,BIT.TRIP Presents... Runner2: Future Legend of Rythm Alien,PC,
4,Black Mesa,PC,11h9m55s
4,Cyber Shadow,PC,7h27m19s
3,It Takes Two,PC,9h21m12s
3,AMID EVIL,PC,5h38m50s
4,We Were Here Together,PC,6h3m42s
5,We Love Katamari,PS2,
4,Disco Elysium,PC,14h24m
2,Ziggurat,PC,
3,Rage 2,PC,6h5m
3,Bad North: Jotunn Edition,PC,3h59m7s
3,Super Mario: Oddyssey,SWITCH,
4,DOOM: Eternal,PC,
5,Elden Ring,PC,50h
4,Cyberpunk 2077,PC,
4,Me & My Katamari,PSP,2h19m36s
3,The Outer Worlds,PC,8h48m
3,Pathfinder: Kingmaker,PC,69h42m
4,Pathfinder: Wrath of the Rightous,PC,75h54m
5,Baldur's Gate 3,PC,58h30m
3,Starfield,PC,42h40m
4,A Short Hike,PC,45m
4,Spore,PC,11h
3,Dragons Dogma II,PC,23h
4,Warhammer 40k: Rogue Trader,PC,64h15m
3,Terraria,PC,28h
3,Need for Speed: Underground 2,PS2,
4,Rogue Legacy 2,PC,20h
3,Moonlighter,PC,10h13m
3,Fallout: London,PC,41h
3,LumbearJack,PC,1h8m
3,Ghost of Tsushima,PC,
3,Bear and Breakfast,PC,17h45m
4,WarioWare, Inc. - Mega Microgame$!,GBA,